ID,例文,質問内容,解答,,,,,,,,,,,
28,配列の長さを得るためににstrlen関数を使ったが、ビルドエラーが起こるとき#include<string.h>があるか確認してみて,配列の長さを得るためににstrlen関数を使ったが、ビルドエラーが起こる,#include<string.h>があるか確認してみて,,,,,,,,,,28,
29,main関数で宣言した変数を別の関数で処理させたけど結果が思ったようなものじゃないときローカル変数ではなく関数より上で変数を宣言するグローバル変数を使ってみましょう。,main関数で宣言した変数を別の関数で処理させたけど結果が思ったようなものじゃない,ローカル変数ではなく関数より上で変数を宣言するグローバル変数を使ってみましょう,,,,,,,,,,29,
30,処理で使う変数にエラーが出るとき宣言している変数と処理で使う変数合ってないかも。,処理で使う変数にエラーが出る,宣言している変数と処理で使う変数合ってる？,,,,,,,,,,30,
31,2次元配列のCharの変数にscanfで入力して別の関数に渡したいけどエラーが出るとき引き渡す関数の引数のChar型は2次元配列にしていますか？,2次元配列のCharの変数にscanfで入力して別の関数に渡したいけどエラーが出る,引き渡す関数の引数のChar型は2次元配列にしていますか？,,,,,,,,,,31,
32,変数名にundefinedというエラーが出るとき変数をせんげんしていますか？,変数名にundefinedというエラーが出る,変数をせんげんしていますか？,,,,,,,,,,32,
33,if文の後のprintfにエラーが出るとき'{}'の対応はちゃんとしていますか？,if文の後のprintfにエラーが出る,{}'の対応はちゃんとしていますか？,,,,,,,,,,33,
34,データを何で宣言すればいいかわからないときは、C言語のデータの基本形は大まかに分けて４つあり、今回は整数値を記憶する型を宣言しないといけません。文字でしたらchar型、整数ならint、実数ならfloatもしくはdoubleで宣言しましょう。,データを何で宣言すればいいかわからない,C言語のデータの基本形は大まかに分けて４つあり、今回は整数値を記憶する型を宣言しないといけません。文字でしたらchar型、整数ならint、実数ならfloatもしくはdoubleで宣言しましょう。,,,,,,,,,,34,
35,数字をデータに入れたのに計算できないときは、データの型をchar型で宣言していませんか？char型は文字列を表示する型なので、数値を入れても計算を行うことができません。整数でならint、実数ならfloatもしくはdoubleで宣言しましょう,数字をデータに入れたのに計算できない,データの型をchar型で宣言していませんか？char型は文字列を表示する型なので、数値を入れても計算を行うことができません。整数でならint、実数ならfloatもしくはdoubleで宣言しましょう,,,,,,,,,,35,
36,繰り返し処理が終わらないときは、繰り返し処理は指定した条件式が真である限り、実行され続けます。例えば、for文だと1つ目の式は初期値の設定、2つ目の式は繰り返しの前判定、3つ目の式は実行後に実行されるカウントのインクリメントが書かれます。ここを確認してみてください。,繰り返し処理が終わらない,繰り返し処理は指定した条件式が真である限り、実行され続けます。例えば、for文だと1つ目の式は初期値の設定、2つ目の式は繰り返しの前判定、3つ目の式は実行後に実行されるカウントのインクリメントが書かれます。ここを確認してみてください。,,,,,,,,,,36,
37,"forの繰り返しに複数の条件をつけたいときは、forの条件式は「;」（セミコロン）で区切られます。複数の条件を付けたい場合、「,」で区切ることで複数の初期値や条件式を記述することができます。",forの繰り返しに複数の条件をつけたい,"forの条件式は「;」（セミコロン）で区切られます。複数の条件を付けたい場合、「,」で区切ることで複数の初期値や条件式を記述することができます。",,,,,,,,,,37,
38,float型とdouble型何が違うかというと、どちらも実数値を表現するデータ型ですが、float型はビット長が32ビットで有効数字が10進数での7桁、double型はビット長がfloat型の倍の64ビット、有効数字が10進数での13桁という違いがあります。,float型とdouble型何が違うの？,どちらも実数値を表現するデータ型ですが、float型はビット長が32ビットで有効数字が10進数での7桁、double型はビット長がfloat型の倍の64ビット、有効数字が10進数での13桁という違いがあります。,,,,,,,,,,38,
39,関数の書き方の基本は　型　関数名　（仮引数の並び）　{ 関数の本体（関数の機能）}で記述されます。コンパイルの際に関数の仕様をチェックする必要があるため、呼び出し側では関数のプロトタイプ宣言を行わないといけません。,関数の書き方がわからない,関数の書き方の基本は　型　関数名　（仮引数の並び）　{ 関数の本体（関数の機能）}で記述されます。コンパイルの際に関数の仕様をチェックする必要があるため、呼び出し側では関数のプロトタイプ宣言を行わないといけません。,,,,,,,,,,39,
40,プロトタイプ宣言は、関数の名前や引数の数、データの型といった関数の情報を定義するものです。プロトタイプ宣言を行うことで、関数の引数などの記述に誤りがあった場合、コンパイルの時、コンパイラがエラーメッセージとして通知してくれます。,プロトタイプ宣言がわからない。,プロトタイプ宣言は、関数の名前や引数の数、データの型といった関数の情報を定義するものです。プロトタイプ宣言を行うことで、関数の引数などの記述に誤りがあった場合、コンパイルの時、コンパイラがエラーメッセージとして通知してくれます。,,,,,,,,,,40,
41,関数がうまく定義できないのは、関数には制約が大きく分けて4つあり、1.関数にはデータ型を宣言しないといけない 2.実引数と仮引数の型と数、順序が一致していなければならない。3.引数がなくても、カッコ()で引数をくくる必要がある。4.関数の結果として値を返すにはreturn文を用いる 5.関数の型を呼び出し側でも宣言しないといけない。分割コンパイルしたほかのソースファイル上の関数を使う場合は、呼び出し側で外部の関数であることを宣言しないといけない。　という条件があります。一度自分自身の関数定義をチェックしてみましょう。,関数がうまく定義できない,関数には制約が大きく分けて4つあり、1.関数にはデータ型を宣言しないといけない 2.実引数と仮引数の型と数、順序が一致していなければならない。3.引数がなくても、カッコ()で引数をくくる必要がある。4.関数の結果として値を返すにはreturn文を用いる 5.関数の型を呼び出し側でも宣言しないといけない。分割コンパイルしたほかのソースファイル上の関数を使う場合は、呼び出し側で外部の関数であることを宣言しないといけない。　という条件があります。一度自分自身の関数定義をチェックしてみましょう。,,,,,,,,,,41,
42,関数の呼び出し側とは、実際に作った関数を利用したいところを指します。例えば、mainの中で、関数を利用したいと考え、利用する場合はmainが呼び出し側となります。,関数での呼び出し側って何？,関数の呼び出し側とは、実際に作った関数を利用したいところを指します。例えば、mainの中で、関数を利用したいと考え、利用する場合はmainが呼び出し側となります。,,,,,,,,,,42,
43,関数はなぜ引数とかで渡すのかというと、関数の中で自分自身を関数として呼び出すことはできます。しかし、その場合2つの条件があり、 1.繰り返しの一般形を定める。2.繰り返しの終了を定める。といったものが必要になります。,関数はなぜ引数とかで渡すの？,基本的に宣言したデータ型や数値は関数内でしか使えません。そのために、値等を渡す場合、引数で渡す必要があります。また、計算などを行った結果が欲しい場合、returnで計算結果の値を呼び出し側へ送らないといけません。,,,,,,,,,,43,
44,関数の中で自分自身を関数として呼び出すことはできるのかというと、しかし、その場合2つの条件があり、 1.繰り返しの一般形を定める。2.繰り返しの終了を定める。といったものが必要になります。,関数を自分自身で呼び出すことはできるの？,関数の中で自分自身を関数として呼び出すことはできます。しかし、その場合2つの条件があり、 1.繰り返しの一般形を定める。2.繰り返しの終了を定める。といったものが必要になります。,,,,,,,,,,44,
45,配列を宣言するときは、配列は　配列名[要素番号]　と書く必要があり、例えばint data[4]と宣言すると0番目から3番目までの4つの整数型の両機が作られます。data[4]には終端文字が記載されているので、定義の際には注意が必要です。,配列の宣言の仕方は？,配列は　配列名[要素番号]　と書く必要があり、例えばint data[4]と宣言すると0番目から3番目までの4つの整数型の両機が作られます。data[4]には終端文字が記載されているので、定義の際には注意が必要です。,,,,,,,,,,45,
46,While文を使っていると実行がとまらくなったときは、無限ループと言います。処理内容を見返してください。＝＝を使っていたりしていませんか？,While文を使っていると実行がとまらくなりました「,無限ループと言います。処理内容を見返してください。＝＝を使っていたりしていませんか？,,,,,,,,,,46,
47,Switch文を使っているが複数のCaseが実行されるとき、各Caseごとにbreakを置く必要があります,Switch文を使っているが複数のCaseが実行される,各Caseごとにbreakを置く必要があります,,,,,,,,,,47,
48,ポインタが有効かを確認したいときは、pをポインタとするとif(*p!=NULL)と置くとよいです,ポインタが有効かを確認したいです,pをポインタとするとif(*p!=NULL)と置くとよいです,,,,,,,,,,48,
49,構造体の宣言がうまくいかないとき、構造体名の前に「strutc」があるか？{}の後ろにセミコロンがあるか？,構造体の宣言がうまくいかない,構造体名の前に「strutc」があるか？{}の後ろにセミコロンがあるか？,,,,,,,,,,49,
50,ポインタがうまく機能しないときポインタとなる宣言している変数の先頭に' * 'をつけていますか？,ポインタがうまく機能しない,ポインタとなる宣言している変数の先頭に' * 'をつけていますか？,,,,,,,,,,50,
51,ポインタを使った配列をやっているのですが思っていたような結果になるとき、ポインタを使って配列を行う場合、例えば変数aを使う場合*(a+1)と書きます。（）をつけないと違う意味になります。,ポインタを使った配列をやっているのですが思っていたような結果になりません,ポインタを使って配列を行う場合、例えば変数aを使う場合*(a+1)と書きます。（）をつけないと違う意味になります。,,,,,,,,,,51,
52,wdo-while分のあとのコードでエラーが出るとき、hileの条件の()の後ろに' ; 'があるか確認してください,do-while分のあとのコードでエラーが出る,whileの条件の()の後ろに' ; 'があるか確認してください,,,,,,,,,,52,
53,メモリを使いたいがmallocやcalllocにエラーがでるとき、メモリを使う場合プログラムの先頭に#include<memory.h>、#include<malloc.h>、#include<stdlib.h>が必要となります。,メモリを使いたいがmallocやcalllocにエラーがでる,メモリを使う場合プログラムの先頭に#include<memory.h>、#include<malloc.h>、#include<stdlib.h>が必要となります。,,,,,,,,,,53,
54,main関数とそれの引数を持った関数に分けたが結果が返ってこないプロトタイプとき、プロトタイプ宣言が必要になります。プロトタイプ宣言は関数名と（）と一緒にmain関数の上に宣言する必要があります,main関数とそれの引数を持った関数に分けたが結果が返ってこない,プロトタイプ宣言が必要になります。プロトタイプ宣言は関数名と（）と一緒にmain関数の上に宣言する必要があります,,,,,,,,,,54,
55,構造体の各メンバを参照したい時は、構造体名の後ろに' . 'または' -> 'を置き、メンバ名を書く。,構造体の各メンバを参照したい時は？,構造体名の後ろに' . 'または' -> 'を置き、メンバ名を書く。,,,,,,,,,,55,
56,＋＋aとa＋＋の違いは、＋aは前置形式でa++は後置形式である。式の中で前者を使うとaの値に1を増やしてその結果を使う。後者は１増やされる前のaの値が使われ、式の後にaの値が1増える。,#NAME?,#NAME?,,,,,,,,,,56,
57,ファイルが開けないときは開きたいファイルが実行ファイル直下にあるか確認してください。もしくは開きたいファイルのパスをファイル名を格納する配列に入れてみてください。,ファイルが開けなーーーーーい！,開きたいファイルが実行ファイル直下にあるか確認してください。もしくは開きたいファイルのパスをファイル名を格納する配列に入れてみてください。,,,,,,,,,,57,
58,関数を作ったが戻り値がうまくいかないときは、戻り値の型を確認し直してみてください。（関数の冒頭）,関数を作ったが戻り値がうまくいかない,戻り値の型を確認し直してみてください。（関数の冒頭）,,,,,,,,,,58,
59,strcpy関数を使うとエラーが起きるときは、#include<string.h>が定義されてるか確認し直して下さい。,strcpy関数を使うとエラーが起きる,#include<string.h>が定義されてるか確認し直して下さい。,,,,,,,,,,59,
60,ループ処理が終了しないときは、継続条件は設定していますか？継続条件が設定されていないと終了されません。また、継続条件の値を変化させる増減式は設定しています,ループ処理が終了しない,継続条件は設定していますか？継続条件が設定されていないと終了されません。また、継続条件の値を変化させる増減式は設定しています,,,,,,,,,,60,
61,緑色の文字は何かというと、コメントという状態です。コメント状態のものはプログラムに反映されないものになります,緑色の文字って何？,緑色の文字はコメントという状態です。コメント状態のものはプログラムに反映されないものになります,,,,,,,,,,61,
62,コメントとはプログラムに反映されない作り手のメモみたいなものです。「//～」が//の後の一行（～）がコメント化されます、「/*～*/」は「/*」と「*/」で挟んだ範囲がコメント化されます。,コメントって何？,コメントとはプログラムに反映されない作り手のメモみたいなものです。「//～」が//の後の一行（～）がコメント化されます、「/*～*/」は「/*」と「*/」で挟んだ範囲がコメント化されます。,,,,,,,,,,62,
63,変数などが格納されている位置(アドレス)を値とする変数をポインタというんだよ,ポインタって何？,変数などが格納されている位置(アドレス)を値とする変数をポイントというんだよ,,,,,,,,,,63,
64,While文の中身が一度も実行されずにプログラムが終了するとき、while（式）は継続条件の式です。While文に入る前の段階で式の値が偽になっていた場合はWhile文の中身は一度も実行されません,While文の中身が一度も実行されずにプログラムが終了します,while（式）は継続条件の式です。While文に入る前の段階で式の値が偽になっていた場合はWhile文の中身は一度も実行されません,,,,,,,,,,64,
65,ファイルの入出力するには、FILE型変数を作る必要があります。また、fopen関数を使う必要があります。,ファイル入出力が出来ません,ファイルの入出力には、FILE型変数を作る必要があります。また、fopen関数を使う必要があります。,,,,,,,,,,65,
66,ファイルの入出力でfcloseは何でいるのかというと、ファイルの入出力でfcloseは確保したメモリを解放するためです。ファイルの入出力ではメモリを確保するのですが、処理が終わった後もそのままだとそのメモリが使えなくなってしまいます。,ファイルの入出力でfcloseは何でいるんですか？,確保したメモリを解放するためです。ファイルの入出力ではメモリを確保するのですが、処理が終わった後もそのままだとそのメモリが使えなくなってしまいます。,,,,,,,,,,66,
67,継続条件とはfor文やwhile文などの繰り返し文では、繰り返しを終了するための式が設定されています。それが継続条件です。,継続条件とは何ですか？,for文やwhile文などの繰り返し文では、繰り返しを終了するための式が設定されています。それが継続条件です。,,,,,,,,,,67,
68,文法エラーもなく実行しているらしいのだが、うんともすんとも言わないのはフリーズではなく。変数を使っていて、添え字が暴走するとそうなることが多い。あるいは、for(k=10; k>0; k++) のように絶対終わらない終了条件を書いてしまう場合もある。いずれにしても、自分で発見出来なければダメ。printf 文を有効活用してください。,文法エラーもなく実行しているらしいのだが、うんともすんとも言わない、フリーズか？,配列変数を使っていて、添え字が暴走するとそうなることが多い。あるいは、for(k=10; k>0; k++) のように絶対終わらない終了条件を書いてしまう場合もある。いずれにしても、自分で発見出来なければダメ。printf 文を有効活用してください。,,,,,,,,,,68,
69,「int main() {」のあとにEnter キーを押しても字下げされないのは拡張子「.c」の付いたファイルへのサービスです。新規文書を作成したら、直ちに「.c」を付けたファイル名で保存しなさい,「int main() {」のあとにEnter キーを押しても字下げされません。なぜ？,字下げは拡張子「.c」の付いたファイルへのサービスです。新規文書を作成したら、直ちに「.c」を付けたファイル名で保存しなさい,,,,,,,,,,69,
70,プログラムをいじっているうちに字下げがぐちゃぐちゃになってしまい一々タブを付けたり取ったりは面倒なときは、「編集」→「選択範囲のフォーマット」メニューを実行しなさい。字下げはプログラムの構造を掴む上で重要な情報です。そのために、エディタのサポート機能を活用すべきです。新しい行を挿入する場合は、前の行の行末にカーソルを置いてからEnter キーを押してください。そうすればぐちゃぐちゃにはなりません。,プログラムをいじっているうちに字下げがぐちゃぐちゃになってしまいました。一々タブを付けたり取ったりは面倒です。何か良い方法はありませんか？,「編集」→「選択範囲のフォーマット」メニューを実行しなさい。字下げはプログラムの構造を掴む上で重要な情報です。そのために、エディタのサポート機能を活用すべきです。新しい行を挿入する場合は、前の行の行末にカーソルを置いてからEnter キーを押してください。そうすればぐちゃぐちゃにはなりません。,,,,,,,,,,70,
71,C 言語とJavaの書き方は、非常によく似ています。ただ、プログラムを作るときの考え方が違います。C言語は構造化プログラミングといいまして、フローチャートのとおりにコーディングしていけばプログラムを作っていけるんですね。,C 言語とJavaは似ているように感じますが、主にどこが違うのでしょうか？,言語の書き方は、非常によく似ています。ただ、プログラムを作るときの考え方が違います。C言語は構造化プログラミングといいまして、フローチャートのとおりにコーディングしていけばプログラムを作っていけるんですね。,,,,,,,,,,71,
72,データが入力できません、あるいは、入力したはずのデータが正しく入力できないときは、一番多いのは、変数の前に「&」を付け忘れることです。先ずそれを確認しなさい。あとは、scanf命令の変数の個数とフォーマット識別子の個数が違っているか、型がおかしいかのどれかでしょう。すぐに分からないとあきらめないで、意図したとおりのプログラムが書けているかどうかを一字一字確認しなさい。,データが入力できません、あるいは、入力したはずのデータが正しく入力されません。,一番多いのは、変数の前に「&」を付け忘れることです。先ずそれを確認しなさい。あとは、scanf命令の変数の個数とフォーマット識別子の個数が違っているか、型がおかしいかのどれかでしょう。すぐに分からないとあきらめないで、意図したとおりのプログラムが書けているかどうかを一字一字確認しなさい。,,,,,,,,,,72,
73,main関数で作った変数が、他の関数で使えないとき、変数にはスコープという有効範囲があり、特定の関数で宣言した変数はその関数内でしか使えません。他の関数で使う為には、関数呼び出しの時に引数としてその変数のアドレスを渡す必要があります。,main関数で作った変数が、他の関数で使えません！,変数にはスコープという有効範囲があり、特定の関数で宣言した変数はその関数内でしか使えません。他の関数で使う為には、関数呼び出しの時に引数としてその変数のアドレスを渡す必要があります。,,,,,,,,,,73,
74,"3桁未満の学籍番号を「""%3d""」で表示したら先頭のゼロが表示されないとき、どうすれば良いのかというとせっかく百の位、十の位、一の位の数字を計算するのだから、「""C%d%d%d-%d""」のように、間を開けずに表示させれば良いでしょう。裏技として、「%」と「3d」の間にゼロを書いて「""%03d""」とすると、「001」のように表示できます。","3桁未満の学籍番号を「""%3d""」で表示したら先頭のゼロが表示されません。どうすれば良いですか？","せっかく百の位、十の位、一の位の数字を計算するのだから、「""C%d%d%d-%d""」のように、間を開けずに表示させれば良いでしょう。裏技として、「%」と「3d」の間にゼロを書いて「""%03d""」とすると、「001」のように表示できます。",,,,,,,,,,74,
75,変数のアドレスとは、データを入れるために確保した箱（メモリ）のＰＣ上での位置を示すための住所です,変数のアドレスっなに？,変数のアドレスとは、データを入れるために確保した箱（メモリ）のＰＣ上での位置を示すための住所です,,,,,,,,,,75,
76,変数とは、数字や文字などのデータを入れるためにＰＣ上のメモリを確保した領域のことです。,変数ってなに？,変数とは、数字や文字などのデータを入れるためにＰＣ上のメモリを確保した領域のことです。,,,,,,,,,,76,
77,*(a+1)と*(a)+1の違いは、ポインタ配列をする際*(a+1)は配列の要素を足された数だけ後の要素を指しますが、*(a)+1はそれができません。,*(a+1)と*(a)+1の違いって何？,ポインタ配列をする際*(a+1)は配列の要素を足された数だけ後の要素を指しますが、*(a)+1はそれができません。,,,,,,,,,,77,
78,FILE型変数とはファイルの入出力に使う変数です。,FILE型変数ってなに？,ファイルの入出力に使う変数です。,,,,,,,,,,78,
79,strrev という関数がみつからないのは、strrev という関数はANSI Cには定義されていません。ある関数が標準関数かどうかは、 K&R 2nd.を見るか、あるいはコンパイラのリファレンスマニュアルを見れば 判断できるはずです。,strrev という関数がみつからない。,strrev という関数はANSI Cには定義されていません。ある関数が標準関数かどうかは、 K&R 2nd.を見るか、あるいはコンパイラのリファレンスマニュアルを見れば 判断できるはずです。,,,,,,,,,,79,
80,strcat とはどういう処理をする関数なのか。なぜこのような奇妙な名前が付いているのかというと、strcat は、既にある文字列の後に、新たな文字列を連結する処理をします。catというの はconcatenateの略と言われています。,strcat とはどういう処理をする関数なのか。なぜこのような奇妙な名前が付いているのか。,strcat は、既にある文字列の後に、新たな文字列を連結する処理をします。catというの はconcatenateの略と言われています。,,,,,,,,,,80,
81,不定とは、C言語の仕様としては正しい書き方であるが、その結果が決まっていないような ふるまいのことをいいます。,不定とは何か。,C言語の仕様としては正しい書き方であるが、その結果が決まっていないような ふるまいのことをいいます。,,,,,,,,,,81,
82,"printf(""%s"", s); のように呼び出す書き方があるが、 printf(s); ではなぜいけないのかというと、文字列の中に書式制御文字が含まれていると、予期しない結果となるかもしれ ないからです。 ""%s"" という文字列を表示させるつもりで次のコードを実行すると、多分思った通りに 表示されないし、最悪の場合はプログラムが暴走するかもしれません。","printf(""%s"", s); のように呼び出す書き方があるが、 printf(s); ではなぜいけないのか。","文字列の中に書式制御文字が含まれていると、予期しない結果となるかもしれ ないからです。 ""%s"" という文字列を表示させるつもりで次のコードを実行すると、多分思った通りに 表示されないし、最悪の場合はプログラムが暴走するかもしれません。",,,,,,,,,,82,
83,printf を使って '%' を出力するには%%' と書けば '%' が表示されます。,printf を使って '%' を出力するにはどうすればよいか。 '\%' としてもうまくいかなかった。,%%' と書けば '%' が表示されます。,,,,,,,,,,83,
84,漢字を含む文字列の文字数を調べるのは一般的かつ簡単な方法はありません。処理系によっては、漢字を含む文字列の 文字数を戻すような非標準のライブラリ関数が用意されているかもしれません。 やっかいな問題は、漢字の表現方法が一通りでないということです。JIS、シフト JIS、EUCなどの種類によって、文字の数え方を変えてやらなければなりません。,漢字を含む文字列の文字数を調べるにはどうすればよいか。,一般的かつ簡単な方法はありません。処理系によっては、漢字を含む文字列の 文字数を戻すような非標準のライブラリ関数が用意されているかもしれません。 やっかいな問題は、漢字の表現方法が一通りでないということです。JIS、シフト JIS、EUCなどの種類によって、文字の数え方を変えてやらなければなりません。,,,,,,,,,,84,
85,atoi の逆の処理をしたい。数を文字列に変換するにはどうすればよいかというと、sprintf を使えば簡単にできます。ただし、結果を格納することのできる領域はあらかじ め確保しておかねばなりません。,atoi の逆の処理をしたい。数を文字列に変換するにはどうすればよいか。 itoa という関数はなかった。,sprintf を使えば簡単にできます。ただし、結果を格納することのできる領域はあらかじ め確保しておかねばなりません。,,,,,,,,,,85,
86,NULLとは、ポインタの基本的な考え方は、どこかに実体があって、それがどこにあるかと いう情報を保存しておこう、というものです。すなわち、ポインタはどこかにあ る実体を指している矢印のようなものと考えられます。,NULL とは何か。,ポインタの基本的な考え方は、どこかに実体があって、それがどこにあるかと いう情報を保存しておこう、というものです。すなわち、ポインタはどこかにあ る実体を指している矢印のようなものと考えられます。,,,,,,,,,,86,
87,NUL と NULL の違いはなにかというと、NULというのは、値が0である文字コードを意味しており、ポインタとは何の関係もあ りません。null文字と表現することもあります。 NULL というのはどこも指していないポインタを意味します。従って、これらは全く別 の概念です。,NUL と NULL の違いは何か。,NUL というのは、値が0である文字コードを意味しており、ポインタとは何の関係もあ りません。null文字と表現することもあります。 NULL というのはどこも指していないポインタを意味します。従って、これらは全く別 の概念です。,,,,,,,,,,87,
